time_s,position_m,velocity_m_per_s,acceleration_m_per_s2,
0.000000,2.000000,-3.000000,0.000000,
0.100000,1.720000,-2.800000,2.000000,
0.200000,1.460000,-2.600000,2.000000,
0.300000,1.220000,-2.400000,2.000000,
0.400000,1.000000,-2.200000,2.000000,
0.500000,0.800000,-2.000000,2.000000,
0.600000,0.620000,-1.800000,2.000000,
0.700000,0.460000,-1.600000,2.000000,
0.800000,0.320000,-1.400000,2.000000,
0.900000,0.200000,-1.200000,2.000000,
1.000000,0.100000,-1.000000,2.000000,
1.100000,0.020000,-0.800000,2.000000,
1.200000,-0.040000,-0.600000,2.000000,
1.300000,-0.080000,-0.400000,2.000000,
1.400000,-0.100000,-0.200000,2.000000,
1.500000,-0.100000,0.000000,2.000000,
1.600000,-0.080000,0.200000,2.000000,
1.700000,-0.040000,0.400000,2.000000,
1.800000,0.020000,0.600000,2.000000,
1.900000,0.100000,0.800000,2.000000,
2.000000,0.200000,1.000000,2.000000,
2.100000,0.320000,1.200000,2.000000,
2.200000,0.460000,1.400000,2.000000,
2.300000,0.620000,1.600000,2.000000,
2.400000,0.800000,1.800000,2.000000,
2.500000,1.000000,2.000000,2.000000,
2.600000,1.220000,2.200000,2.000000,
2.700000,1.460000,2.400000,2.000000,
2.800000,1.720000,2.600000,2.000000,
2.900000,2.000000,2.800000,2.000000,
3.000000,2.300000,3.000000,2.000000,
3.100000,2.620000,3.200000,2.000000,
3.200000,2.960000,3.400000,2.000000,
3.300000,3.320000,3.600000,2.000000,
3.400000,3.700000,3.800000,2.000000,
3.500000,4.100000,4.000000,2.000000,
3.600000,4.520000,4.200000,2.000000,
3.700000,4.960000,4.400000,2.000000,
3.800000,5.420000,4.600000,2.000000,
3.900000,5.900000,4.800000,2.000000,
