time_s,position_m,velocity_m_per_s,acceleration_m_per_s2,
0.000000,0.000000,0.000000,0.000000,
0.001000,0.000005,0.005000,5.000000,
0.002000,0.000015,0.010000,5.000000,
0.003000,0.000030,0.015000,5.000000,
0.004000,0.000050,0.020000,5.000000,
0.005000,0.000075,0.025000,5.000000,
0.006000,0.000105,0.030000,5.000000,
0.007000,0.000140,0.035000,5.000000,
0.008000,0.000180,0.040000,5.000000,
0.009000,0.000225,0.045000,5.000000,
0.010000,0.000275,0.050000,5.000000,
0.011000,0.000330,0.055000,5.000000,
0.012000,0.000390,0.060000,5.000000,
0.013000,0.000455,0.065000,5.000000,
0.014000,0.000525,0.070000,5.000000,
0.015000,0.000600,0.075000,5.000000,
0.016000,0.000680,0.080000,5.000000,
0.017000,0.000765,0.085000,5.000000,
0.018000,0.000855,0.090000,5.000000,
0.019000,0.000950,0.095000,5.000000,
0.020000,0.001050,0.100000,5.000000,
0.021000,0.001155,0.105000,5.000000,
0.022000,0.001265,0.110000,5.000000,
0.023000,0.001380,0.115000,5.000000,
0.024000,0.001500,0.120000,5.000000,
0.025000,0.001625,0.125000,5.000000,
0.026000,0.001755,0.130000,5.000000,
0.027000,0.001890,0.135000,5.000000,
0.028000,0.002030,0.140000,5.000000,
0.029000,0.002175,0.145000,5.000000,
0.030000,0.002325,0.150000,5.000000,
0.031000,0.002480,0.155000,5.000000,
0.032000,0.002640,0.160000,5.000000,
0.033000,0.002805,0.165000,5.000000,
0.034000,0.002975,0.170000,5.000000,
0.035000,0.003150,0.175000,5.000000,
0.036000,0.003330,0.180000,5.000000,
0.037000,0.003515,0.185000,5.000000,
0.038000,0.003705,0.190000,5.000000,
0.039000,0.003900,0.195000,5.000000,
0.040000,0.004100,0.200000,5.000000,
0.041000,0.004305,0.205000,5.000000,
0.042000,0.004515,0.210000,5.000000,
0.043000,0.004730,0.215000,5.000000,
0.044000,0.004950,0.220000,5.000000,
0.045000,0.005175,0.225000,5.000000,
0.046000,0.005405,0.230000,5.000000,
0.047000,0.005640,0.235000,5.000000,
0.048000,0.005880,0.240000,5.000000,
0.049000,0.006125,0.245000,5.000000,
0.050000,0.006375,0.250000,5.000000,
0.051000,0.006630,0.255000,5.000000,
0.052000,0.006890,0.260000,5.000000,
0.053000,0.007155,0.265000,5.000000,
0.054000,0.007425,0.270000,5.000000,
0.055000,0.007700,0.275000,5.000000,
0.056000,0.007980,0.280000,5.000000,
0.057000,0.008265,0.285000,5.000000,
0.058000,0.008555,0.290000,5.000000,
0.059000,0.008850,0.295000,5.000000,
0.060000,0.009150,0.300000,5.000000,
0.061000,0.009455,0.305000,5.000000,
0.062000,0.009765,0.310000,5.000000,
0.063000,0.010080,0.315000,5.000000,
